#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Deladenus siricidicola	287718	PRJNA507701	507701	Animals	Roundworms	100.561	33.5	GCA_009724625.1	-	SAUE01	3169	-	-	2/12/2019	2/12/2019	Scaffold	University of Pretoria	SAMN10502236
Strongyloides venezuelensis	75913	PRJEB530	261603	Animals	Roundworms	52.179	25.1	GCA_001028725.1	-	-	587	-	-	2/6/2015	2/6/2015	Contig	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMD00012916
Eimeria maxima	5804	PRJEB4864	225685	Protists	Apicomplexans	45.9751	46.6	GCA_000499605.1	-	CBUY01	3564	6057	6057	30/10/2013	30/1/2015	Scaffold	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA3138822
Bremia lactucae	4779	PRJNA387613	387613	Protists	Other Protists	115.936	45.1494	GCA_004359215.2	linkage group LG1:CM033803.1; linkage group LG2:CM033804.1; linkage group LG3:CM033805.1; linkage group LG4:CM033806.1; linkage group LG5:CM033807.1; linkage group LG6:CM033808.1; linkage group LG7:CM033809.1; linkage group LG8:CM033810.1; linkage group LG9:CM033811.1; linkage group LG10:CM033812.1; linkage group LG11:CM033813.1; linkage group LG12:CM033814.1; linkage group LG13:CM033815.1; linkage group LG14:CM033816.1; linkage group LG15:CM033817.1; linkage group LG16:CM033818.1; linkage group LG17:CM033819.1; linkage group LG18:CM033820.1; linkage group LG19:CM033821.1	SHOA02	220	9767	9767	19/3/2019	20/8/2021	Chromosome	UC Davis Genome Center	SAMN07163504
Fasciola gigantica	46835	PRJNA691688	691688	Animals	Flatworms	1347.76	44.4	GCA_018104335.1	-	JAEQMV01	1022	-	-	20/4/2021	20/4/2021	Scaffold	Guangxi University	SAMN17303421
Eimeria acervulina	5801	PRJEB4832	223648	Protists	Apicomplexans	45.8306	48.3	GCA_000499425.1	-	CBUS01	3415	6867	6867	30/10/2013	30/1/2015	Scaffold	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA3138813
Polarella glacialis	89957	PRJEB33539	575677	Protists	Other Protists	2984.68	45.9	GCA_905237085.1	-	CAJNNV01	33494	58231	58229	18/2/2021	18/2/2021	Scaffold	"Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, University of Queensland"	SAMEA5987284
Fonticula alba	691883	PRJNA262900	262900	Protists	Other Protists	31.2965	64.3	GCA_000388065.2	-	AROH01	214	6457	6309	2/5/2013	1/5/2014	Scaffold	NCBI	SAMN02741864
Nannochloropsis oceanica	145522	PRJNA503776	503776	Protists	Other Protists	29.2648	54.0478	GCA_004519485.1	chromosome 1:CP038106.1; chromosome 2:CP038117.1; chromosome 3:CP038128.1; chromosome 4:CP038130.1; chromosome 5:CP038131.1; chromosome 6:CP038132.1; chromosome 7:CP038133.1; chromosome 8:CP038134.1; chromosome 9:CP038135.1; chromosome 10:CP038107.1; chromosome 11:CP038108.1; chromosome 12:CP038109.1; chromosome 13:CP038110.1; chromosome 14:CP038111.1; chromosome 15:CP038112.1; chromosome 16:CP038113.1; chromosome 17:CP038114.1; chromosome 18:CP038115.1; chromosome 19:CP038116.1; chromosome 20:CP038118.1; chromosome 21:CP038119.1; chromosome 22:CP038120.1; chromosome 23:CP038121.1; chromosome 24:CP038122.1; chromosome 25:CP038123.1; chromosome 26:CP038124.1; chromosome 27:CP038125.1; chromosome 28:CP038126.1; chromosome 29:CP038127.1; chromosome 30:CP038129.1; mitochondrion MT:CP038137.1; chloroplast Pltd:CP038136.1	-	32	-	-	28/3/2019	28/3/2019	Chromosome	Ocean University of China	SAMN10284882
Brugia pahangi	6280	PRJNA394254	394254	Animals	Roundworms	96.3929	28.3034	GCA_012070555.1	chromosome 4:CM022444.1; mitochondrion MT:CM022469.1	JAAVKF01	146	-	-	6/4/2020	6/4/2020	Chromosome	University of Maryland	SAMN07352407
Litomosoides sigmodontis	42156	PRJNA593581	593581	Animals	Roundworms	64.1615	33.8	GCA_013365315.1	-	JABVXR01	839	-	-	22/6/2020	22/6/2020	Scaffold	New England Biolabs	SAMN15190316
Leishmania chagasi	44271	PRJNA523126	523126	Protists	Kinetoplasts	31.9246	59.5567	GCA_014466975.1	chromosome 1:CP048183.1; chromosome 2:CP048194.1; chromosome 3:CP048202.1; chromosome 4:CP048203.1; chromosome 5:CP048204.1; chromosome 6:CP048172.1; chromosome 7:CP048205.1; chromosome 8:CP048206.1; chromosome 9:CP048207.1; chromosome 10:CP048173.1; chromosome 11:CP048174.1; chromosome 12:CP048175.1; chromosome 13:CP048176.1; chromosome 14:CP048177.1; chromosome 15:CP048178.1; chromosome 16:CP048179.1; chromosome 17:CP048180.1; chromosome 18:CP048181.1; chromosome 19:CP048182.1; chromosome 20:CP048184.1; chromosome 21:CP048185.1; chromosome 22:CP048186.1; chromosome 23:CP048187.1; chromosome 24:CP048188.1; chromosome 25:CP048189.1; chromosome 26:CP048190.1; chromosome 27:CP048191.1; chromosome 28:CP048192.1; chromosome 29:CP048193.1; chromosome 30:CP048195.1; chromosome 31:CP048196.1; chromosome 32:CP048197.1; chromosome 33:CP048198.1; chromosome 34:CP048199.1; chromosome 35:CP048200.1; chromosome 36:CP048201.1	-	36	-	-	3/9/2020	3/9/2020	Chromosome	Instituto evandro Chagas	SAMN10964360
Leishmania amazonensis	5659	PRJNA522806	522806	Protists	Kinetoplasts	32.1565	59.497	GCA_005317125.1	chromosome 1:CP040129.1; chromosome 2:CP040130.1; chromosome 3:CP040131.1; chromosome 4:CP040132.1; chromosome 5:CP040133.1; chromosome 6:CP040134.1; chromosome 7:CP040135.1; chromosome 8:CP040136.1; chromosome 9:CP040137.1; chromosome 10:CP040138.1; chromosome 11:CP040139.1; chromosome 12:CP040140.1; chromosome 13:CP040141.1; chromosome 14:CP040142.1; chromosome 15:CP040143.1; chromosome 16:CP040144.1; chromosome 17:CP040145.1; chromosome 18:CP040146.1; chromosome 19:CP040147.1; chromosome 20:CP040148.1; chromosome 21:CP040149.1; chromosome 22:CP040150.1; chromosome 23:CP040151.1; chromosome 24:CP040152.1; chromosome 25:CP040153.1; chromosome 26:CP040154.1; chromosome 27:CP040155.1; chromosome 28:CP040156.1; chromosome 29:CP040157.1; chromosome 30:CP040158.1; chromosome 31:CP040159.1; chromosome 32:CP040160.1; chromosome 33:CP040161.1; chromosome 34:CP040162.1	-	34	-	-	14/5/2019	14/5/2019	Complete Genome	Grupo de Investigaciones Microbiologicas - UR (GIMUR)	SAMN10955936
Strongyloides stercoralis	6248	PRJNA930454	930454	Animals	Roundworms	44.3725	22.1973	GCA_029582065.1	chromosome 1:CM055865.1; chromosome 2:CM055866.1; mitochondrion MT:CM055867.1	JARPTA01	9	-	-	4/4/2023	4/4/2023	Chromosome	NIAID	SAMN33009726
Vitrella brassicaformis CCMP3155	1169540	PRJEB7564	287236	Protists	Other Protists	72.7007	57.9	GCA_001179505.1	-	CDMY01	1064	35209	23034	17/6/2015	17/6/2015	Scaffold	King Abdullah University of Science and Technology	SAMEA2627691
Oxytricha trifallax	1172189	PRJNA257306	257306	Protists	Other Protists	496.291	28.4	GCA_000711775.1	-	ARYC01	25720	810	810	25/6/2014	25/6/2014	Contig	NCBI	SAMN02377822
Trichuris trichiura	36087	PRJEB535	242667	Animals	Roundworms	75.4964	42.2	GCA_000613005.1	-	CBXK01	4156	9650	9650	25/3/2014	30/1/2015	Scaffold	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA3138987
Trichuris suis	68888	PRJNA179528	179528	Animals	Roundworms	63.8397	43.3	GCA_000797535.1	-	JDFW01	306	10164	9829	5/12/2014	17/12/2014	Scaffold	The Genome Institute	SAMN02721381
Plasmodium vinckei vinckei	54757	PRJNA667746	667746	Protists	Apicomplexans	18.3742	22.8906	GCA_900681995.1	chromosome PVVCY_01:NC_051293.1/LR215057.1; chromosome PVVCY_02:NC_051294.1/LR215058.1; chromosome PVVCY_03:NC_051295.1/LR215059.1; chromosome PVVCY_04:NC_051296.1/LR215060.1; chromosome PVVCY_05:NC_051297.1/LR215061.1; chromosome PVVCY_06:NC_051298.1/LR215062.1; chromosome PVVCY_07:NC_051299.1/LR215063.1; chromosome PVVCY_08:NC_051300.1/LR215064.1; chromosome PVVCY_09:NC_051301.1/LR215065.1; chromosome PVVCY_10:NC_051302.1/LR215066.1; chromosome PVVCY_11:NC_051303.1/LR215067.1; chromosome PVVCY_12:NC_051304.1/LR215068.1; chromosome PVVCY_13:NC_051305.1/LR215069.1; chromosome PVVCY_14:NC_051306.1/LR215070.1; mitochondrion PVVCY_MIT:NW_023618545.1/LR215072.1; apicoplast PVVCY_API:NW_023618544.1/LR215071.1	-	16	5147	5050	30/1/2019	13/11/2020	Complete Genome	NCBI	SAMEA5241084
Blastocystis sp. subtype 4	944170	PRJNA257240	257240	Protists	Other Protists	12.9194	39.7	GCA_000743755.1	-	JPUL02	1301	5707	5707	15/8/2014	3/11/2015	Scaffold	"Clermont Universite, Universite Blaise Pascal, CNRS UMR 6023"	SAMN02949638
Symbiodinium sp. clade A Y106	1563115	PRJDB3242	474285	Protists	Other Protists	766.66	49.8	GCA_003297005.1	-	BGNK01	16176	-	-	22/6/2018	22/6/2018	Scaffold	Okinawa Institute of Science and Technology	SAMD00020952
Caenorhabditis sp. 36 PRJEB53466	2970133	PRJEB53466	848366	Animals	Roundworms	59.0296	45.3	GCA_946814055.1	-	CAMPFS01	10	16296	16268	10/9/2022	14/9/2022	Scaffold	University of Miyazaki	SAMEA111310027
Plasmodium sp. DRC-Itaito	720590	PRJEB13584	445524	Protists	Apicomplexans	21.9145	21.0926	GCA_900257145.2	chromosome 1:LT990230.1; chromosome 2:LT990231.1; chromosome 3:LT990232.1; chromosome 4:LT990233.1; chromosome 5:LT990234.2; chromosome 6:LT990235.2; chromosome 7:LT990236.1; chromosome 8:LT990237.1; chromosome 9:LT990238.1; chromosome 10:LT990239.1; chromosome 11:LT990240.1; chromosome 12:LT990241.1; chromosome 13:LT990242.2; chromosome 14:LT990243.1	-	14	5199	4970	25/3/2018	10/6/2020	Chromosome	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA104452070
Endotrypanum monterogeii	5705	PRJNA165953	165953	Protists	Kinetoplasts	32.5204	52.6723	GCA_000333855.2	chromosome 1:CM007321.1; chromosome 2:CM007322.1; chromosome 3:CM007323.1; chromosome 4:CM007324.1; chromosome 5:CM007325.1; chromosome 6:CM007326.1; chromosome 7:CM007327.1; chromosome 8:CM007328.1; chromosome 9:CM007329.1; chromosome 10:CM007330.1; chromosome 11:CM007331.1; chromosome 12:CM007332.1; chromosome 13:CM007333.1; chromosome 14:CM007334.1; chromosome 15:CM007335.1; chromosome 16:CM007336.1; chromosome 17:CM007337.1; chromosome 18:CM007338.1; chromosome 19:CM007339.1; chromosome 20:CM007340.1; chromosome 21:CM007341.1; chromosome 22:CM007342.1; chromosome 23:CM007343.1; chromosome 24:CM007344.1; chromosome 25:CM007345.1; chromosome 26:CM007346.1; chromosome 27:CM007347.1; chromosome 28:CM007348.1; chromosome 29:CM007349.1; chromosome 30:CM007314.1; chromosome 31:CM007315.1; chromosome 32:CM007316.1; chromosome 33:CM007317.1; chromosome 34:CM007318.1; chromosome 35:CM007319.1; chromosome 36:CM007320.1	AOFS02	1959	-	-	18/1/2013	30/9/2016	Chromosome	Kinetoplastid Genomes Consortium	SAMN01129977
Leishmania panamensis	5679	PRJNA261718	261718	Protists	Kinetoplasts	30.6888	57.3879	GCA_000755165.1	chromosome 1:NC_025854.1/CP009370.1; chromosome 2:NC_025865.1/CP009371.1; chromosome 3:NC_025876.1/CP009372.1; chromosome 4:NC_025883.1/CP009373.1; chromosome 5:NC_025884.1/CP009374.1; chromosome 6:NC_025885.1/CP009375.1; chromosome 7:NC_025886.1/CP009376.1; chromosome 8:NC_025887.1/CP009377.1; chromosome 9:NC_025888.1/CP009378.1; chromosome 10:NC_025855.1/CP009379.1; chromosome 11:NC_025856.1/CP009380.1; chromosome 12:NC_025857.1/CP009381.1; chromosome 13:NC_025858.1/CP009382.1; chromosome 14:NC_025859.1/CP009383.1; chromosome 15:NC_025860.1/CP009384.1; chromosome 16:NC_025861.1/CP009385.1; chromosome 17:NC_025862.1/CP009386.1; chromosome 18:NC_025863.1/CP009387.1; chromosome 19:NC_025864.1/CP009388.1; chromosome 20:NC_025866.1/CP009389.1; chromosome 21:NC_025867.1/CP009390.1; chromosome 22:NC_025868.1/CP009391.1; chromosome 23:NC_025869.1/CP009392.1; chromosome 24:NC_025870.1/CP009393.1; chromosome 25:NC_025871.1/CP009394.1; chromosome 26:NC_025872.1/CP009395.1; chromosome 27:NC_025873.1/CP009396.1; chromosome 28:NC_025874.1/CP009397.1; chromosome 29:NC_025875.1/CP009398.1; chromosome 30:NC_025877.1/CP009399.1; chromosome 31:NC_025878.1/CP009400.1; chromosome 32:NC_025879.1/CP009401.1; chromosome 33:NC_025880.1/CP009402.1; chromosome 34:NC_025881.1/CP009403.1; chromosome 35:NC_025882.1/CP009404.1	-	35	8048	7748	16/9/2014	9/3/2015	Chromosome	NCBI	SAMN02991529
Chroomonas mesostigmatica CCMP1168	1195612	PRJNA260939	260939	Protists	Other Protists	0.702852	25.9335	GCA_000286095.1	chromosome 1:CP003680.1; chromosome 2:CP003681.1; chromosome 3:CP003682.1	-	3	580	505	9/8/2012	30/11/2012	Chromosome	NCBI	-
Plasmodium cynomolgi strain B	1120755	PRJDA49901	49901	Protists	Apicomplexans	26.1813	40.5946	GCA_000321355.1	chromosome 1:NC_020396.1/DF157093.1; chromosome 2:NC_020395.1/DF157094.1; chromosome 3:NC_020397.1/DF157095.1; chromosome 4:NC_020408.1/DF157096.1; chromosome 5:NC_020398.1/DF157097.1; chromosome 6:NC_020399.1/DF157098.1; chromosome 7:NC_020400.1/DF157099.1; chromosome 8:NC_020401.1/DF157100.1; chromosome 9:NC_020402.1/DF157101.1; chromosome 10:NC_020403.1/DF157102.1; chromosome 11:NC_020404.1/DF157103.1; chromosome 12:NC_020405.1/DF157104.1; chromosome 13:NC_020406.1/DF157105.1; chromosome 14:NC_020407.1/DF157106.1	BAEJ01	1663	5776	5716	31/5/2012	16/9/2015	Chromosome	Osaka Univ.	SAMD00016567
Saprolegnia diclina VS20	1156394	PRJNA255245	255245	Protists	Other Protists	62.8858	55.3	GCA_000281045.1	-	AIJL01	390	17448	18229	23/7/2012	11/8/2014	Scaffold	NCBI	SAMN02981407
Angomonas deanei	59799	PRJEB36170	656018	Protists	Kinetoplasts	20.9761	49.8459	GCA_903995115.1	chromosome 01:LR877145.1; chromosome 02:LR877146.1; chromosome 03:LR877147.1; chromosome 04:LR877148.1; chromosome 05:LR877149.1; chromosome 06:LR877150.1; chromosome 07:LR877151.1; chromosome 08:LR877152.1; chromosome 09:LR877153.1; chromosome 10:LR877154.1; chromosome 11:LR877155.1; chromosome 12:LR877156.1; chromosome 13:LR877157.1; chromosome 14:LR877158.1; chromosome 15:LR877159.1; chromosome 16:LR877160.1; chromosome 17:LR877161.1; chromosome 18:LR877162.1; chromosome 19:LR877163.1; chromosome 20:LR877164.1; chromosome 21:LR877165.1; chromosome 22:LR877166.1; chromosome 23:LR877167.1; chromosome 24:LR877168.1; chromosome 25:LR877169.1; chromosome 26:LR877170.1; chromosome 27:LR877171.1; chromosome 28:LR877172.1; chromosome 29:LR877173.1	-	29	10512	10365	18/8/2020	18/8/2020	Complete Genome	York	SAMEA6471262
Pythium aphanidermatum DAOM BR444	1223555	PRJNA169051	169051	Protists	Other Protists	35.8768	53.5	GCA_000387445.2	-	AKXX02	1774	-	-	2/5/2013	11/8/2014	Scaffold	Michigan State University	SAMN02981430
Pythium arrhenomanes ATCC 12531	1223556	PRJNA169052	169052	Protists	Other Protists	44.6726	56.1	GCA_000387505.2	-	AKXY02	10972	-	-	2/5/2013	11/8/2014	Scaffold	Michigan State University	SAMN02981431
Globisporangium iwayamae	115417	PRJNA601986	601986	Protists	Other Protists	40.6101	55.2	GCA_023336215.1	-	JAADWP01	4850	-	-	11/5/2022	11/5/2022	Contig	Agriculture and Agri-Food Canada	SAMN13878577
Globisporangium irregulare	36331	PRJNA601986	601986	Protists	Other Protists	44.4205	53.7	GCA_023336235.1	-	JAADWQ01	5922	-	-	11/5/2022	11/5/2022	Contig	Agriculture and Agri-Food Canada	SAMN13878576
Achlya hypogyna	1202772	PRJNA169234	169234	Protists	Other Protists	43.3985	56.8	GCA_002081595.1	-	JNBR01	3062	14406	14406	6/4/2017	6/4/2017	Scaffold	University of Rhode Island	SAMN02690054
Thraustotheca clavata	74557	PRJNA169235	169235	Protists	Other Protists	39.1007	37.9	GCA_002081575.1	-	JNBS01	5333	13174	13174	6/4/2017	6/4/2017	Scaffold	University of Rhode Island	SAMN02690055
Leishmania aethiopica	5667	PRJNA484340	484340	Protists	Kinetoplasts	33.6484	60.4	GCA_003992445.1	-	RZOE01	118	-	-	4/1/2019	4/1/2019	Contig	CDC	SAMN09984807
Leishmania tropica	5666	PRJNA484340	484340	Protists	Kinetoplasts	32.7007	59.6627	GCA_014139745.1	chromosome 01:CM024323.1; chromosome 02:CM024324.1; chromosome 03:CM024325.1; chromosome 04:CM024326.1; chromosome 05:CM024327.1; chromosome 06:CM024328.1; chromosome 07:CM024329.1; chromosome 08:CM024330.1; chromosome 09:CM024331.1; chromosome 10:CM024296.1; chromosome 11:CM024297.1; chromosome 12:CM024298.1; chromosome 13:CM024299.1; chromosome 14:CM024300.1; chromosome 15:CM024301.1; chromosome 16:CM024302.1; chromosome 17:CM024303.1; chromosome 18:CM024304.1; chromosome 19:CM024305.1; chromosome 20:CM024306.1; chromosome 21:CM024307.1; chromosome 22:CM024308.1; chromosome 23:CM024309.1; chromosome 24:CM024310.1; chromosome 25:CM024311.1; chromosome 26:CM024312.1; chromosome 27:CM024313.1; chromosome 28:CM024314.1; chromosome 29:CM024315.1; chromosome 30:CM024316.1; chromosome 31:CM024317.1; chromosome 32:CM024318.1; chromosome 33:CM024319.1; chromosome 34:CM024320.1; chromosome 35:CM024321.1; chromosome 36:CM024322.1	JACCHM01	43	-	-	10/8/2020	14/8/2020	Chromosome	CDC	SAMN09984808
Meloidogyne graminicola	189291	PRJNA615787	615787	Animals	Roundworms	41.5494	23.2	GCA_014773135.1	-	JABEBT01	283	10283	10198	28/9/2020	28/9/2020	Scaffold	Consultative Group for International Agricultural Research Program on rice-agrifood systems	SAMN14466702
Leishmania mexicana MHOM/GT/2001/U1103	929439	PRJEA60403	60403	Protists	Kinetoplasts	32.1087	59.7793	GCA_000234665.4	chromosome 1:NC_018305.1/FR799554.1; chromosome 2:NC_018306.1/FR799555.1; chromosome 3:NC_018307.1/FR799556.1; chromosome 4:NC_018308.1/FR799557.1; chromosome 5:NC_018309.1/FR799558.1; chromosome 6:NC_018310.1/FR799559.1; chromosome 7:NC_018311.1/FR799560.1; chromosome 8:NC_018312.1/FR799561.1; chromosome 9:NC_018313.1/FR799562.1; chromosome 10:NC_018314.1/FR799563.1; chromosome 11:NC_018315.1/FR799564.1; chromosome 12:NC_018316.1/FR799565.1; chromosome 13:NC_018317.1/FR799566.1; chromosome 14:NC_018318.1/FR799567.1; chromosome 15:NC_018319.1/FR799568.1; chromosome 16:NC_018320.1/FR799569.1; chromosome 17:NC_018321.1/FR799570.1; chromosome 18:NC_018322.1/FR799571.1; chromosome 19:NC_018323.1/FR799572.1; chromosome 20:NC_018324.1/FR799573.1; chromosome 21:NC_018325.1/FR799574.1; chromosome 22:NC_018326.1/FR799575.1; chromosome 23:NC_018327.1/FR799576.1; chromosome 24:NC_018328.1/FR799577.1; chromosome 25:NC_018329.1/FR799578.1; chromosome 26:NC_018330.1/FR799579.1; chromosome 27:NC_018331.1/FR799580.1; chromosome 28:NC_018332.1/FR799581.1; chromosome 29:NC_018333.1/FR799582.1; chromosome 30:NC_018334.1/FR799583.1; chromosome 31:NC_018335.1/FR799584.1; chromosome 32:NC_018336.1/FR799585.1; chromosome 33:NC_018337.1/FR799586.1; chromosome 34:NC_018338.1/FR799587.1	CADB01	588	8248	8147	4/2/2011	18/12/2011	Chromosome	Wellcome Trust Sanger Institute	SAMEA2272796
Spironucleus salmonicida	348837	PRJNA60811	60811	Protists	Other Protists	14.5459	34.2763	GCA_000497125.2	chromosome 1:CM035316.1; chromosome 2:CM035317.1; chromosome 3:CM035318.1; chromosome 4:CM035319.1; chromosome 5:CM035320.1; chromosome 6:CM035321.1; chromosome 7:CM035322.1; chromosome 8:CM035323.1; chromosome 9:CM035324.1	AUWU02	42	9065	8667	15/11/2013	5/10/2021	Chromosome	Uppsala University	SAMN02303460
Stylonychia lemnae	5949	PRJEB5807	253863	Protists	Other Protists	50.1645	31.7	GCA_000751175.1	-	CCKQ01	19840	20740	20740	5/9/2014	5/9/2014	Contig	Institut für Zellbiologie‎	SAMEA2594040
Phytophthora capsici	4784	PRJNA685930	685930	Protists	Other Protists	76.8393	51	GCA_018292885.1	-	JAFLQL01	472	-	-	6/5/2021	6/5/2021	Scaffold	Seoul National University	SAMN17101195
Theileria orientalis strain Shintoku	869250	PRJDA49463	49463	Protists	Apicomplexans	9.01036	41.5803	GCA_000740895.1	chromosome 1:NC_025260.1/AP011946.1; chromosome 2:NC_025261.1/AP011947.1; chromosome 3:NC_025262.1/AP011948.1; chromosome 4:NC_025263.1/AP011949.1	-	6	4058	4002	5/9/2012	15/12/2016	Complete Genome	"Research Center for Zoonosis Control, Hokkaido University"	SAMD00067076
Crithidia fasciculata	5656	PRJNA165885	165885	Protists	Kinetoplasts	41.2974	57.0071	GCA_000331325.2	chromosome 1:CM003408.1; chromosome 2:CM003409.1; chromosome 3:CM003410.1; chromosome 4:CM003411.1; chromosome 5:CM003412.1; chromosome 6:CM003413.1; chromosome 7:CM003414.1; chromosome 8:CM003415.1; chromosome 9:CM003416.1; chromosome 10:CM003417.1; chromosome 11:CM003418.1; chromosome 12:CM003419.1; chromosome 13:CM003420.1; chromosome 14:CM003421.1; chromosome 15:CM003422.1; chromosome 16:CM003423.1; chromosome 17:CM003424.1; chromosome 18:CM003425.1; chromosome 19:CM003426.1; chromosome 20:CM003427.1; chromosome 21:CM003428.1; chromosome 22:CM003429.1; chromosome 23:CM003430.1; chromosome 24:CM003431.1; chromosome 25:CM003432.1; chromosome 26:CM003433.1; chromosome 27:CM003434.1; chromosome 28:CM003435.1; chromosome 29:CM003436.1; chromosome 30:CM003407.1; kinetoplast KP:CM003437.1	AODS02	458	-	-	9/1/2013	20/8/2015	Chromosome	Kinetoplastid Genomes Consortium	SAMN02953828
Strigomonas culicis	28005	PRJNA203517	203517	Protists	Kinetoplasts	23.5872	56.7	GCA_000482145.1	-	AUXH01	3002	-	-	25/10/2013	6/8/2014	Contig	Virginia Commonwealth University	SAMN02953861
Taenia crassiceps	6207	PRJNA807072	807072	Animals	Flatworms	107.053	43.5	GCA_023375655.1	-	JAKROA01	65	-	-	16/5/2022	16/5/2022	Scaffold	Biotechnology Institute of UNAM	SAMN25949382
Babesia bigemina	5866	PRJEB5046	237378	Protists	Apicomplexans	13.8409	50.6137	GCA_000981445.1	chromosome I:NC_027216.1/LK391707.1; chromosome II:NC_027217.1/LK391708.1; chromosome III:NC_027218.1/LK391709.1; chromosome IV:NC_027219.1/LK391710.1; chromosome V:NC_027220.1/LK391711.1	-	483	5075	5079	13/6/2014	16/6/2015	Chromosome	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA819968
Thelazia callipaeda	103827	PRJEB1205	261615	Animals	Roundworms	75.3921	29.6	GCA_900618365.1	-	UYYF01	5778	10911	10886	28/11/2018	28/11/2018	Scaffold	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA1522722
Histomonas meleagridis	135588	PRJNA594289	594289	Protists	Other Protists	43.4148	28.7	GCA_020186115.1	-	WSYJ01	187	11119	11119	30/9/2021	30/9/2021	Scaffold	University Clinic for Poultry and Fish Medicine - Vetmeduni Vienna	SAMN13511252
Angiostrongylus vasorum	321387	PRJNA663250	663250	Animals	Roundworms	279.949	41.7	GCA_018806985.1	-	JADANN01	468	-	-	9/6/2021	9/6/2021	Scaffold	University of Zurich	SAMN16124463
Plasmodium inui San Antonio 1	1237626	PRJNA176387	176387	Protists	Apicomplexans	27.405	42.4	GCA_000524495.1	-	AMYR01	323	5879	5832	27/1/2014	27/5/2022	Scaffold	Broad Institute	SAMN01737341
Phytophthora lateralis	129355	PRJNA190827	190827	Protists	Other Protists	52.4486	53.2	GCA_000500205.2	-	AWVV02	9039	-	-	22/11/2013	30/3/2017	Scaffold	Tree Aggressors Identification using Genomic Approaches	SAMN02178795
Phytophthora kernoviae	325452	PRJNA554119	554119	Protists	Other Protists	41.9175	50.4	GCA_008080845.1	-	VKKV01	544	-	-	23/8/2019	23/8/2019	Contig	"Contact; Gloria Abad Z, USDA-APHIS-PPQ-S&T"	SAMN12256453
Panagrellus redivivus	6233	PRJNA186477	186477	Animals	Roundworms	65.0931	44.3	GCA_000341325.1	-	AOMH01	940	-	-	19/2/2013	6/8/2014	Scaffold	California Institute of Technology	SAMN02953831
Panagrellus sp. LJ2284	2950576	PRJNA845886	845886	Animals	Roundworms	74.4545	44.1	GCA_024447225.1	-	JAMRYC01	80	-	-	26/7/2022	26/7/2022	Contig	Seoul National University	SAMN28864276
Aphanomyces astaci	112090	PRJNA264335	264335	Protists	Other Protists	75.8444	49.6	GCA_000520075.1	-	AYTG01	835	19576	26259	13/1/2014	14/1/2014	Scaffold	NCBI	SAMN01906578
Aphanomyces invadans	157072	PRJNA258292	258292	Protists	Other Protists	71.4025	52.1	GCA_000520115.1	-	AYTH01	481	15415	20816	14/1/2014	18/8/2014	Scaffold	NCBI	SAMN01907307
Globisporangium splendens	82926	PRJNA548776	548776	Protists	Other Protists	53.361	52.6	GCA_006386115.1	-	VFIW01	198	17350	17350	24/6/2019	28/1/2020	Scaffold	University of Kerala	SAMN12049464
Phytophthora cambivora	53983	PRJNA190824	190824	Protists	Other Protists	230.616	52.9	GCA_000443045.1	-	AUVH01	72332	-	-	1/8/2013	30/3/2017	Scaffold	Tree Aggressors Identification using Genomic Approaches	SAMN02178787
Phytophthora cryptogea	4786	PRJNA190825	190825	Protists	Other Protists	63.8393	51.9	GCA_000468175.2	-	AUWJ02	19533	-	-	16/9/2013	30/3/2017	Scaffold	Tree Aggressors Identification using Genomic Approaches	SAMN02178792
Phytophthora pinifolia	538568	PRJNA190828	190828	Protists	Other Protists	94.6173	54.9	GCA_000500225.2	-	AWVW02	36928	-	-	22/11/2013	30/3/2017	Scaffold	Tree Aggressors Identification using Genomic Approaches	SAMN02178790
