#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Zygotorulaspora florentina	48255	PRJNA429441	429441	Fungi	Ascomycetes	11.0697	41	GCA_003671575.2	-	PPJY02	349	-	-	22/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343387
Komagataella pseudopastoris	169507	PRJNA770850	770850	Fungi	Ascomycetes	9.88714	40.4	GCA_023212875.1	-	JAKWAT01	42	-	-	2/5/2022	2/5/2022	Contig	BOKU - University of Natural Resources and Life Sciences Vienna	SAMN22242010
Meyerozyma sp. JA9	2028340	PRJNA385175	385175	Fungi	Ascomycetes	10.3456	47.2	GCA_003676015.1	-	NSDU01	25	5016	5016	23/10/2018	23/10/2018	Scaffold	Embrapa Agroenergia	SAMN06883267
Spathaspora sp. JA1	2028339	PRJNA385175	385175	Fungi	Ascomycetes	14.4786	34.6	GCA_003676035.1	-	NSGQ01	180	5253	5253	23/10/2018	23/10/2018	Scaffold	Embrapa Agroenergia	SAMN06883265
Podospora comata	48703	PRJNA523441	523441	Fungi	Ascomycetes	34.5622	52.0833	GCA_017354895.1	chromosome 1:CP071493.1; chromosome 2:CP071494.1; chromosome 3:CP071495.1; chromosome 4:CP071496.1; chromosome 5:CP071497.1; chromosome 6:CP071498.1; chromosome 7:CP071499.1; mitochondrion MT:CP071500.1	-	8	-	-	15/3/2021	15/3/2021	Complete Genome	Uppsala University	SAMN15214448
Venturia asperata	86256	PRJNA407103	407103	Fungi	Ascomycetes	33.2828	49.5	GCA_003689335.1	-	QWWL01	2760	-	-	26/10/2018	26/10/2018	Scaffold	INRA	SAMN07816545
Venturia aucupariae	470485	PRJNA407103	407103	Fungi	Ascomycetes	51.7	-	GCA_003693225.1	-	QWZN01	11098	-	-	26/10/2018	26/10/2018	Scaffold	INRA	SAMN07816627
Pseudonectria buxi	1053252	PRJNA485774	485774	Fungi	Ascomycetes	27.9218	54.4	GCA_003693545.1	-	QUZG01	342	-	-	29/10/2018	29/10/2018	Scaffold	USDA-ARS	SAMN09814110
Coccinonectria pachysandricola	1634537	PRJNA485774	485774	Fungi	Ascomycetes	25.7047	51.3	GCA_003693555.1	-	QUZF01	359	-	-	29/10/2018	29/10/2018	Scaffold	USDA-ARS	SAMN09814111
Chaetothyriales sp. CBS 134920	2249417	PRJNA482740	482740	Fungi	Ascomycetes	20.7481	53.8	GCA_003693665.1	-	QQSL01	408	5984	5984	29/10/2018	29/10/2018	Scaffold	Westerdijk Fungal Biodiversity Institute	SAMN09487414
Fusarium kuroshium	2010991	PRJNA389173	389173	Fungi	Ascomycetes	46.6368	51.3	GCA_003698175.1	-	NKUJ01	1403	16661	16485	30/10/2018	30/10/2018	Scaffold	"University of California, Riverside"	SAMN07200645
Aspergillus sp. HF37	1960876	PRJNA374997	374997	Fungi	Ascomycetes	21.932	30.3	GCA_003698115.1	-	RAQS01	5986	-	-	30/10/2018	30/10/2018	Contig	"University of Natural Resources and Life Sciences, Vienna"	SAMN06341106
Komagataella populi	1099808	PRJNA770850	770850	Fungi	Ascomycetes	9.26967	41.6	GCA_023212995.1	-	JAKWAY01	7	-	-	2/5/2022	2/5/2022	Contig	BOKU - University of Natural Resources and Life Sciences Vienna	SAMN22242005
Starmera quercuum	53646	PRJNA429441	429441	Fungi	Ascomycetes	11.7462	40	GCA_003705275.1	-	PPIB01	265	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343436
Spencermartinsiella europaea	933994	PRJNA429441	429441	Fungi	Ascomycetes	14.7109	46.3	GCA_003705305.2	-	PPIE02	281	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343433
Priceomyces medius	45504	PRJNA429441	429441	Fungi	Ascomycetes	11.0838	36.8	GCA_003705335.1	-	PPIF01	176	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343432
Sporopachydermia lactativora	45794	PRJNA429441	429441	Fungi	Ascomycetes	16.6539	44.4	GCA_003705295.1	-	PPID01	1194	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343434
Saturnispora mendoncae	324741	PRJNA429441	429441	Fungi	Ascomycetes	9.08163	32.8	GCA_003705365.1	-	PPII01	550	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343429
Saturnispora serradocipensis	756769	PRJNA429441	429441	Fungi	Ascomycetes	10.3177	37.1	GCA_003705415.1	-	PPIK01	645	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343427
Saturnispora zaruensis	58635	PRJNA429441	429441	Fungi	Ascomycetes	9.88362	37.8	GCA_003705435.1	-	PPIM01	302	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343425
Fusarium incarnatum	298378	PRJNA436969	436969	Fungi	Ascomycetes	37.4916	48.7	GCA_004367075.1	-	QGDZ01	381	-	-	22/3/2019	28/4/2020	Scaffold	"US Department of Agriculture, Agriculture Research Service"	SAMN08631432
Ogataea henricii	36024	PRJNA429441	429441	Fungi	Ascomycetes	12.6047	49.2	GCA_003705115.1	-	PPHT01	497	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343444
Ambrosiozyma ambrosiae	53487	PRJNA429441	429441	Fungi	Ascomycetes	14.8687	32.5	GCA_003705185.1	-	PPHU01	183	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343443
Pichia occidentalis	54552	PRJNA870168	870168	Fungi	Ascomycetes	12.6177	40.4	GCA_029581985.1	-	JARGSE01	27	-	-	4/4/2023	4/4/2023	Contig	Concordia University	SAMN30353783
Pichia nakasei	53656	PRJNA429441	429441	Fungi	Ascomycetes	10.4137	33.3	GCA_003705495.1	-	PPIP01	209	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343422
Meyerozyma athensensis	304220	PRJNA429441	429441	Fungi	Ascomycetes	9.66466	45.5	GCA_003705555.1	-	PPIU01	34	-	-	31/10/2018	31/12/2018	Contig	UW-Madison	SAMN08343417
Pichia heedii	53659	PRJNA429441	429441	Fungi	Ascomycetes	10.7203	30.2	GCA_003705525.2	-	PPIR02	650	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343420
Diddensiella caesifluorescens	1194607	PRJNA429441	429441	Fungi	Ascomycetes	12.0079	44.6	GCA_003705635.1	-	PPJD01	266	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343408
Kodamaea laetipori	271274	PRJNA429441	429441	Fungi	Ascomycetes	15.039	40.3	GCA_003705675.1	-	PPJF01	118	-	-	31/10/2018	8/3/2019	Contig	UW-Madison	SAMN08343406
Ogataea nitratoaversa	490708	PRJNA429441	429441	Fungi	Ascomycetes	14.3441	34.7	GCA_003705625.1	-	PPIW01	910	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343415
Blastobotrys raffinosifermentans	1548389	PRJNA429441	429441	Fungi	Ascomycetes	12.4582	48.2	GCA_003705705.1	-	PPJH01	61	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343404
Ambrosiozyma vanderkliftii	489717	PRJNA429441	429441	Fungi	Ascomycetes	15.6204	34.4	GCA_003705225.1	-	PPHW01	4756	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343441
Blastobotrys serpentis	456365	PRJNA429441	429441	Fungi	Ascomycetes	13.8904	42	GCA_003705695.1	-	PPJG01	846	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343405
Blastobotrys peoriensis	378051	PRJNA429441	429441	Fungi	Ascomycetes	14.1193	51.8	GCA_003705735.2	-	PPJJ02	246	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343402
Wickerhamiella cacticola	75733	PRJNA429441	429441	Fungi	Ascomycetes	12.9385	48.2	GCA_003705615.1	-	PPIZ01	1891	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343412
Blastobotrys americana	1850976	PRJNA429441	429441	Fungi	Ascomycetes	12.5932	43.8	GCA_003705795.2	-	PPJN02	148	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343398
Blastobotrys mokoenaii	267478	PRJNA429441	429441	Fungi	Ascomycetes	13.7779	48.9	GCA_003705765.2	-	PPJM02	512	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343399
Blastobotrys muscicola	378046	PRJNA429441	429441	Fungi	Ascomycetes	14.7129	50.3	GCA_003705745.2	-	PPJL02	663	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343400
Kockiozyma suomiensis	1337062	PRJNA429441	429441	Fungi	Ascomycetes	14.0652	44.3	GCA_003705835.2	-	PPJQ02	145	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343395
Lipomyces mesembrius	56874	PRJNA429441	429441	Fungi	Ascomycetes	17.1348	47	GCA_003705845.2	-	PPJS02	531	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343393
Lipomyces doorenjongii	383834	PRJNA429441	429441	Fungi	Ascomycetes	12.2265	44.1	GCA_003705865.1	-	PPJU01	390	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343391
Lipomyces japonicus	56871	PRJNA429441	429441	Fungi	Ascomycetes	13.9133	41.9	GCA_003705895.1	-	PPJV01	690	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343390
Tetrapisispora iriomotensis	113606	PRJNA429441	429441	Fungi	Ascomycetes	12.0581	32.5	GCA_003705975.1	-	PPKC01	576	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343383
Lipomyces lipofer	36043	PRJNA429441	429441	Fungi	Ascomycetes	19.8561	48.2	GCA_003705915.1	-	PPJX01	996	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343388
Peterozyma toletana	1196395	PRJNA429441	429441	Fungi	Ascomycetes	13.6699	38	GCA_003706045.1	-	PPKG01	422	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343379
Tetrapisispora namnaoensis	279732	PRJNA429441	429441	Fungi	Ascomycetes	12.6361	32.6	GCA_003705985.1	-	PPKD01	835	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343382
Ogataea trehaloabstinens	169509	PRJNA429441	429441	Fungi	Ascomycetes	11.2937	41.4	GCA_003706095.1	-	PPKJ01	168	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343376
Ogataea kodamae	50263	PRJNA429441	429441	Fungi	Ascomycetes	8.67277	44.6	GCA_003706165.2	-	PPKP02	96	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343370
Kuraishia molischiana	317048	PRJNA841440	841440	Fungi	Ascomycetes	10.1451	54.8	GCA_024271875.1	-	JANBXH01	332	-	-	15/7/2022	15/7/2022	Scaffold	Institute of Microbiology of Czech academy of science	SAMN28560960
Nakazawaea holstii	36025	PRJNA429441	429441	Fungi	Ascomycetes	13.5382	35.3	GCA_003706265.1	-	PPKU01	699	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343365
Danielozyma ontarioensis	130807	PRJNA429441	429441	Fungi	Ascomycetes	10.7017	46.6	GCA_003706395.1	-	PPLF01	78	-	-	31/10/2018	31/12/2018	Contig	UW-Madison	SAMN08343354
Deakozyma indianensis	1470396	PRJNA429441	429441	Fungi	Ascomycetes	11.7529	47.8	GCA_003706415.2	-	PPLG02	168	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343353
Ambrosiozyma oregonensis (nom. inval.)	1382206	PRJNA429441	429441	Fungi	Ascomycetes	15.3324	31	GCA_003706315.2	-	PPKY02	819	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343361
Hanseniaspora clermontiae	211099	PRJNA429441	429441	Fungi	Ascomycetes	9.00338	36.7	GCA_003706385.1	-	PPLD01	794	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343356
Cyberlindnera mrakii	1004253	PRJNA429441	429441	Fungi	Ascomycetes	12.7701	42.4	GCA_003706445.2	-	PPLH02	481	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343352
Suhomyces pyralidae	147331	PRJNA429441	429441	Fungi	Ascomycetes	12.4617	42.7	GCA_003706505.2	-	PPLO02	320	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343345
Suhomyces canberraensis	147334	PRJNA429441	429441	Fungi	Ascomycetes	14.8104	40	GCA_003706525.1	-	PPLP01	223	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343344
Teunomyces kruisii	45561	PRJNA429441	429441	Fungi	Ascomycetes	12.7794	46.1	GCA_003706535.1	-	PPLR01	232	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343342
Teunomyces cretensis	268492	PRJNA429441	429441	Fungi	Ascomycetes	11.2277	46.1	GCA_003706575.1	-	PPLT01	120	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343340
Teunomyces gatunensis	392264	PRJNA429441	429441	Fungi	Ascomycetes	10.8934	41.9	GCA_003706565.2	-	PPLS02	440	-	-	31/10/2018	8/3/2019	Contig	UW-Madison	SAMN08343341
[Candida] montana	49329	PRJNA429441	429441	Fungi	Ascomycetes	12.5355	36.1	GCA_003706615.2	-	PPLU02	97	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343339
Ambrosiozyma maleeae (nom. inval.)	904902	PRJNA429441	429441	Fungi	Ascomycetes	12.7418	43.7	GCA_003706635.1	-	PPLV01	108	-	-	31/10/2018	31/12/2018	Contig	UW-Madison	SAMN08343338
Citeromyces hawaiiensis	1046750	PRJNA429441	429441	Fungi	Ascomycetes	19.6393	43.7	GCA_003706345.1	-	PPLA01	3163	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343359
Barnettozyma hawaiiensis	96499	PRJNA429441	429441	Fungi	Ascomycetes	10.6174	43.3	GCA_003706665.1	-	PPLY01	194	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343335
Barnettozyma populi	53645	PRJNA429441	429441	Fungi	Ascomycetes	11.4759	43.2	GCA_003706705.2	-	PPLZ02	192	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343334
[Candida] incommunis	49327	PRJNA429441	429441	Fungi	Ascomycetes	12.1213	46.7	GCA_003706695.2	-	PPME02	490	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343329
Yamadazyma nakazawae	45506	PRJNA429441	429441	Fungi	Ascomycetes	11.0922	37.6	GCA_003706715.1	-	PPMF01	306	-	-	31/10/2018	31/12/2018	Contig	UW-Madison	SAMN08343328
Cephaloascus albidus	43958	PRJNA429441	429441	Fungi	Ascomycetes	16.5909	34.6	GCA_003706495.1	-	PPLM01	2177	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343347
Tortispora starmeri	1326888	PRJNA429441	429441	Fungi	Ascomycetes	9.49611	42.7	GCA_003706775.2	-	PPMJ02	506	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343323
Wickerhamomyces hampshirensis	1041608	PRJNA429441	429441	Fungi	Ascomycetes	12.0062	36.8	GCA_003706765.2	-	PPXL02	812	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343326
Trigonopsis vinaria	45603	PRJNA429441	429441	Fungi	Ascomycetes	11.3464	44.5	GCA_003706805.2	-	PPMK02	413	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343322
Wickerhamiella azyma	5488	PRJNA794368	794368	Fungi	Ascomycetes	9.35046	53.9	GCA_022577855.1	-	JAKISA01	39	-	-	15/3/2022	15/3/2022	Contig	UCIBIO	SAMN24648683
Priceomyces castillae	45501	PRJNA429441	429441	Fungi	Ascomycetes	10.8146	36.8	GCA_003706855.2	-	PPMN02	138	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343319
Pichia terricola	54551	PRJNA429441	429441	Fungi	Ascomycetes	12.2624	36.3	GCA_003706875.2	-	PPMO02	277	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343318
Kregervanrija delftensis	324739	PRJNA706002	706002	Fungi	Ascomycetes	12.7361	30.6604	GCA_019155655.1	mitochondrion MT:CM032752.1	JAFMZF01	20	-	-	7/7/2021	7/7/2021	Contig	Worcester Polytechnic Institute	SAMN18109229
Phaffomyces antillensis	54045	PRJNA429441	429441	Fungi	Ascomycetes	12.3013	31.9	GCA_003707195.1	-	PPNI01	1461	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343296
Saturnispora silvae	52249	PRJNA429441	429441	Fungi	Ascomycetes	9.2804	42.2	GCA_003707315.2	-	PPIL02	140	-	-	31/10/2018	8/3/2019	Contig	UW-Madison	SAMN08343426
Saturnispora saitoi	58634	PRJNA429441	429441	Fungi	Ascomycetes	9.87541	31.5	GCA_003707305.1	-	PPIJ01	312	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343428
Ogataea populi-albae	550978	PRJNA429441	429441	Fungi	Ascomycetes	11.7834	42.2	GCA_003707375.2	-	PPIX02	231	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343414
[Candida] schatavii	45587	PRJNA429441	429441	Fungi	Ascomycetes	13.7498	46.5	GCA_003707405.1	-	PPIY01	234	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343413
Pichia exigua	1171599	PRJNA429441	429441	Fungi	Ascomycetes	11.2638	31.1	GCA_003707355.1	-	PPIS01	1055	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343419
[Candida] restingae	77849	PRJNA429441	429441	Fungi	Ascomycetes	13.9735	44	GCA_003707425.2	-	PPJA02	148	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343411
Blastobotrys proliferans	44067	PRJNA429441	429441	Fungi	Ascomycetes	14.655	44.6	GCA_003707485.2	-	PPJI02	216	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343403
Aciculoconidium aculeatum	43968	PRJNA429441	429441	Fungi	Ascomycetes	18.235	37.9	GCA_003707435.1	-	PPJB01	832	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343410
Kregervanrija fluxuum	324740	PRJNA429441	429441	Fungi	Ascomycetes	12.9671	31.8	GCA_003707275.2	-	PPNM02	1789	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343292
Lipomyces oligophaga	45792	PRJNA429441	429441	Fungi	Ascomycetes	13.6436	43.7	GCA_003707545.2	-	PPJR02	118	-	-	31/10/2018	8/3/2019	Contig	UW-Madison	SAMN08343394
Dipodascus albidus	27315	PRJNA429441	429441	Fungi	Ascomycetes	16.2637	35.8	GCA_003707475.1	-	PPJE01	725	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343407
Lipomyces arxii	56418	PRJNA429441	429441	Fungi	Ascomycetes	19.2792	46.9	GCA_003707585.2	-	PPJT02	976	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343392
Ogataea pini	4923	PRJNA429441	429441	Fungi	Ascomycetes	11.5684	42.7	GCA_003707665.1	-	PPKL01	97	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343374
Ogataea trehalophila	50267	PRJNA429441	429441	Fungi	Ascomycetes	14.1464	34.9	GCA_003707645.1	-	PPKI01	370	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343377
Tetrapisispora fleetii	300277	PRJNA429441	429441	Fungi	Ascomycetes	12.2424	33	GCA_003707605.1	-	PPKB01	926	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343384
Ogataea pilisensis	157292	PRJNA429441	429441	Fungi	Ascomycetes	14.3265	36.4	GCA_003707685.1	-	PPKM01	589	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343373
[Candida] freyschussii	64417	PRJNA429441	429441	Fungi	Ascomycetes	10.983	42.5	GCA_003707735.1	-	PPLE01	187	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343355
Cyberlindnera misumaiensis	131113	PRJNA429441	429441	Fungi	Ascomycetes	10.5439	48.5	GCA_003707745.1	-	PPLI01	361	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343351
[Candida] oregonensis	46584	PRJNA429441	429441	Fungi	Ascomycetes	10.945	47.4	GCA_003707785.2	-	PPLJ02	242	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343350
Clavispora fructus	46582	PRJNA429441	429441	Fungi	Ascomycetes	11.4426	49	GCA_003707795.1	-	PPLK01	190	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343349
Cephaloascus fragrans	27311	PRJNA429441	429441	Fungi	Ascomycetes	13.7327	36.9	GCA_003707825.2	-	PPLN02	127	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343346
Suhomyces emberorum	246006	PRJNA429441	429441	Fungi	Ascomycetes	13.5172	40.8	GCA_003707835.2	-	PPLQ02	182	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343343
Barnettozyma pratensis	36040	PRJNA429441	429441	Fungi	Ascomycetes	12.6222	38.1	GCA_003707865.1	-	PPMA01	469	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343333
Ambrosiozyma pseudovanderkliftii	489716	PRJNA429441	429441	Fungi	Ascomycetes	14.436	35.6	GCA_003707895.2	-	PPLW02	297	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343337
Barnettozyma salicaria	1337058	PRJNA429441	429441	Fungi	Ascomycetes	11.01	38.5	GCA_003707885.1	-	PPMB01	304	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343332
Wickerhamomyces bovis	53647	PRJNA429441	429441	Fungi	Ascomycetes	11.7045	40.2	GCA_003707945.2	-	PPMH02	342	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343325
Zygoascus ofunaensis	45509	PRJNA429441	429441	Fungi	Ascomycetes	13.2066	43.7	GCA_003707925.2	-	PPMC02	502	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343331
Yueomyces sinensis	58632	PRJNA429441	429441	Fungi	Ascomycetes	13.0221	29.7	GCA_003707995.1	-	PPMT01	859	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343313
Torulaspora maleeae	200334	PRJNA429441	429441	Fungi	Ascomycetes	9.25108	45.8	GCA_003708055.2	-	PPNA02	151	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343304
Ogataea ramenticola	104402	PRJNA841440	841440	Fungi	Ascomycetes	12.5868	34.4	GCA_024271885.1	-	JANBXF01	256	-	-	15/7/2022	15/7/2022	Scaffold	Institute of Microbiology of Czech academy of science	SAMN28560962
Ogataea minuta	36026	PRJNA429441	429441	Fungi	Ascomycetes	9.13008	45.8	GCA_003706195.1	-	PPKR01	166	-	-	31/10/2018	31/12/2018	Contig	UW-Madison	SAMN08343368
Ogataea glucozyma	36023	PRJNA429441	429441	Fungi	Ascomycetes	13.8664	48	GCA_003706155.1	-	PPKO01	533	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343371
Ogataea methylovora	53649	PRJNA429441	429441	Fungi	Ascomycetes	12.847	33.7	GCA_003706205.1	-	PPKQ01	181	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343369
Ogataea nonfermentans	53937	PRJNA429441	429441	Fungi	Ascomycetes	10.8229	44	GCA_003706255.1	-	PPKT01	57	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343366
Ogataea naganishii	50265	PRJNA429441	429441	Fungi	Ascomycetes	12.0011	44.9	GCA_003706235.1	-	PPKS01	121	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343367
Kuraishia ogatae	537810	PRJNA429441	429441	Fungi	Ascomycetes	14.7333	45.2	GCA_003706285.2	-	PPKV02	94	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343364
Kurtzmaniella fragi	52254	PRJNA429441	429441	Fungi	Ascomycetes	12.1049	35.7	GCA_003706895.1	-	PPMP01	451	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343317
Cyberlindnera petersonii	36028	PRJNA429441	429441	Fungi	Ascomycetes	11.6428	43.4	GCA_003706915.2	-	PPMR02	339	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343315
Hyphopichia heimii	507511	PRJNA429441	429441	Fungi	Ascomycetes	12.9608	40.4	GCA_003706925.2	-	PPMQ02	560	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343316
[Candida] ponderosae	135456	PRJNA429441	429441	Fungi	Ascomycetes	14.7843	35.7	GCA_003706755.2	-	PPMG02	2381	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343327
Yamadazyma philogaea	45510	PRJNA429441	429441	Fungi	Ascomycetes	11.1097	42.8	GCA_003706995.2	-	PPMV02	158	-	-	31/10/2018	8/3/2019	Contig	UW-Madison	SAMN08343310
[Candida] blattae	391824	PRJNA429441	429441	Fungi	Ascomycetes	12.2306	49.6	GCA_003706955.2	-	PPMS02	702	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343314
Yamadazyma scolyti	45511	PRJNA429441	429441	Fungi	Ascomycetes	11.2983	38.7	GCA_003707025.1	-	PPMW01	131	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343309
Trigonopsis variabilis	34364	PRJNA429441	429441	Fungi	Ascomycetes	11.5409	45.2	GCA_003707065.2	-	PPXM02	311	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343306
Kurtzmaniella cleridarum	121466	PRJNA429441	429441	Fungi	Ascomycetes	12.1264	33	GCA_003707135.1	-	PPNG01	410	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343298
Phaffomyces opuntiae	54194	PRJNA429441	429441	Fungi	Ascomycetes	13.2274	31.7	GCA_003707165.1	-	PPNH01	664	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343297
Tortispora ganteri	1326887	PRJNA429441	429441	Fungi	Ascomycetes	9.62656	42.9	GCA_003707115.1	-	PPNB01	1044	-	-	31/10/2018	31/12/2018	Scaffold	UW-Madison	SAMN08343303
Phaffomyces thermotolerans	54046	PRJNA429441	429441	Fungi	Ascomycetes	11.4273	31.1	GCA_003707215.1	-	PPNJ01	630	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343295
Saturnispora hagleri	297360	PRJNA429441	429441	Fungi	Ascomycetes	10.254	37.3	GCA_003707255.1	-	PPIH01	276	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343430
Starmera stellimalicola	56415	PRJNA429441	429441	Fungi	Ascomycetes	10.8584	42.5	GCA_003707265.1	-	PPIC01	276	-	-	31/10/2018	8/3/2019	Scaffold	UW-Madison	SAMN08343435
Kodamaea ohmeri	34356	PRJNA525764	525764	Fungi	Ascomycetes	12.5838	42.8	GCA_004919595.1	-	SKFK01	20	-	-	29/4/2019	29/4/2019	Contig	USDA ARS	SAMN11074024
